jtc_id,is_client,name
JTC000751,0,Jones Apartment Management Corporation
JTC001216,0,Jotar Management
JTC000727,0,Journeyman
JTC001217,0,JPI Development
JTC001218,0,JPM Real Estate Services
JTC000055,0,JRK Property Holdings
JTC000222,0,JS Management Co
JTC001219,0,JTI Properties
JTC000223,0,Judwin Properties
JTC000881,0,Justus Rental Properties
JTC000415,0,JVM Realty
JTC000527,0,Kaftan Communities
JTC000364,1,Kamson
JTC001015,0,Kane Residential
JTC000096,0,Kaplan
JTC000830,0,Kaya Apartments
JTC000549,0,KC Foft Central
JTC001220,0,Keener Management
JTC000728,0,Kenneth Management Group
JTC001016,0,Kenney Properties
JTC000451,1,Kenney Realty Services
JTC000384,0,Kettler Management
JTC001017,0,"Keymark Property Management, LLC."
JTC000882,0,Kilroy Realty
JTC001018,0,Klingbell Capital Management
JTC000365,0,KMG Prestige
JTC001139,0,KMS Apartments
JTC000297,0,Knightvest Property Management
JTC001019,0,Kole Management Company
JTC000380,0,Korman Communities
JTC000375,0,Korman Residential Properties
JTC000568,0,KPM LLC
JTC000638,0,Kromer Investment Inc.
JTC000170,0,La Vue at Emerald Pointe
JTC000729,0,Lake Street Management Company
JTC000135,0,Landmark Apartment Trust
JTC000133,0,Landmark Companies
JTC001221,0,Landmark Property Management
JTC000158,0,Landmark Property Services
JTC001140,0,Landsman Real Estate
JTC001116,0,Lanestar Properties
JTC000225,0,Lankford Property Management
JTC001117,0,Lantower Residential
JTC000056,0,Laramar
JTC000831,0,Lawson Realty Corporation
JTC000226,0,LBK Management Services
JTC000227,0,LCJ Management Company
JTC000090,1,LCOR
JTC001020,0,LDG Development
JTC000626,0,LeaseStar
JTC000627,0,Leasing & Management Co. 
JTC000057,0,LEDIC Management Group
JTC001021,0,Legacy Management
JTC000366,0,Legacy Partners
JTC000759,0,Legend Asset
JTC001022,0,"Legend Asset Mangement II, LLC"
JTC001222,0,Leinbach Co.
JTC000113,0,Leman
JTC000435,0,Lennar
JTC001023,0,Lenzy Hayes Inc. & Hayes-Gibson International
JTC000731,0,Lerner Residential
JTC000899,0,Letter9
JTC000392,1,Lewis Apartment Communities
JTC000228,0,Leyendecker Management Services Inc
JTC001024,0,LI Combs & Sons Management Co.
JTC001223,0,Lifecare Services
JTC000800,1,Lifestyle Communites
JTC000832,0,Light Hill Partners
JTC001025,0,Lighthouse Property Management
JTC000058,0,Lincoln
JTC000059,0,Lindsey Management
JTC000883,0,Linebacker Equity Management
JTC000908,0,Lion Real Estate Group
JTC001298,0,Liv Communities
JTC000328,0,LivCor
JTC000732,0,Living Well Homes
JTC000393,0,Lloyd Companies
JTC001026,0,"LMS Real Estate Investment Management, LLC"
JTC001027,0,Logan Properties
JTC000229,0,LSR Houston Inc
JTC000884,0,LT Property Management
JTC001224,0,Lufkin Property Management
JTC000060,1,Luma Corp Inc.
JTC001225,0,"Lynco, Inc"
JTC000061,1,Lyon Communities
JTC000733,0,M West Holdings
JTC001141,0,M&A Real Estate Partners
JTC000833,0,M2 Property Group
JTC000062,1,MAA
JTC000230,0,MAC Property Management
JTC000399,1,MacDonald Realty Group
JTC000063,0,Madera companies
JTC000406,0,Madison Apartment Group
JTC000795,0,Madrona Ridge Residential
JTC000734,0,Magellan Development Group
JTC000834,0,Magna Properties
JTC000835,0,Main Street Realty
JTC000735,0,Maloney Properties
JTC000402,0,Management Services Corporation
